Game_Date,Opponent,Year,Coach,Record,Season_Wins,Season_Losses,Season_Ties,Season_Conference,Season_Conference_Place,BYU_Win,BYU_Score,Opponent_Score,Away
9/2,Sam Houston St,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,1,14,0,0
9/9,Southern Utah,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,1,41,16,0
9/16,Arkansas,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,1,38,31,1
9/23,Kansas,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,27,38,1
9/29,Cincinnati,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,1,35,27,0
10/14,TCU,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,11,44,1
10/21,Texas Tech,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,1,27,14,0
10/28,Texas,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,6,35,1
11/4,West Virginia,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,7,37,1
11/11,Iowa State,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,13,45,0
11/18,Oklahoma,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,24,31,0
11/25,Ok St,2023,Kalani Sitake,5-7,5,7,0,Big 12,11.0,0,34,40,1
9/3,USF,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,50,21,1
9/10,Baylor,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,26,20,0
9/17,Oregon,2022,Kalani Sitake,8-5,8,5,0,Independent,,0,20,41,1
9/24,Wyoming,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,38,24,0
9/29,Utah State,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,38,26,0
10/8,Notre Dame,2022,Kalani Sitake,8-5,8,5,0,Independent,,0,20,28,1
10/15,Arkansas,2022,Kalani Sitake,8-5,8,5,0,Independent,,0,35,52,0
10/22,Liberty,2022,Kalani Sitake,8-5,8,5,0,Independent,,0,14,41,1
10/28,East Carolina,2022,Kalani Sitake,8-5,8,5,0,Independent,,0,24,27,0
11/5,Boise State,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,31,28,1
11/19,Utah Tech,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,52,26,0
11/26,Stanford,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,35,26,1
12/17,SMU,2022,Kalani Sitake,8-5,8,5,0,Independent,,1,24,23,1
9/4,Arizona,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,24,16,1
9/11,Utah,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,26,17,0
9/18,Arizona State,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,27,17,0
9/25,South Florida,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,35,27,0
10/1,Utah State,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,34,20,1
10/9,Boise State,2021,Kalani Sitake,10-3,10,3,0,Independent,,0,17,26,0
10/16,Baylor,2021,Kalani Sitake,10-3,10,3,0,Independent,,0,24,38,1
10/23,Washington St,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,21,19,1
10/30,Virginia,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,66,49,0
11/6,Idaho State,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,59,14,0
11/20,Ga Southern,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,34,17,1
11/27,USC,2021,Kalani Sitake,10-3,10,3,0,Independent,,1,35,31,1
12/18,UAB,2021,Kalani Sitake,10-3,10,3,0,Independent,,0,28,31,0
9/7,Navy,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,55,3,1
9/26,Troy,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,48,7,0
10/2,Louisiana Tech,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,45,14,0
10/10,UTSA,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,27,20,0
10/16,Houston,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,43,26,1
10/24,Texas State,2020,Kalani Sitake,11-1,11,1,0,Independent,,1,52,14,0
